task,backbone,unit,mae_scratch,mae_pretrained
JDFT2D,CGCNN,meV/atom,56.59,45.87
Phonons,CGCNN,1/cm,56.79,40.51
Dielectric,CGCNN,dimensionless,0.538,0.501
GVRH,CGCNN,log10(GPa),0.088,0.078
KVRH,CGCNN,log10(GPa),0.07,0.068
MP_Gap,CGCNN,eV,0.257,0.25
MP_E_Form,CGCNN,eV/atom,0.038,0.033
JDFT2D,MEGNET,meV/atom,50.47,33.02
Phonons,MEGNET,1/cm,28.64,23.96
Dielectric,MEGNET,dimensionless,0.362,0.297
GVRH,MEGNET,log10(GPa),0.105,0.081
KVRH,MEGNET,log10(GPa),0.075,0.065
MP_Gap,MEGNET,eV,0.23,0.175
MP_E_Form,MEGNET,eV/atom,0.035,0.025
JDFT2D,PaiNN,meV/atom,62.52,36.42
Phonons,PaiNN,1/cm,78.93,54.17
Dielectric,PaiNN,dimensionless,0.534,0.429
GVRH,PaiNN,log10(GPa),0.105,0.081
KVRH,PaiNN,log10(GPa),0.074,0.058
MP_Gap,PaiNN,eV,0.285,0.226
MP_E_Form,PaiNN,eV/atom,0.033,0.027
