task,unit,train_fraction_pct,mae_pretrained_mean,mae_pretrained_sd,mae_scratch_mean,mae_scratch_sd
JDFT2D,meV/atom,5,59.04,18.13,74.82,19.9
JDFT2D,meV/atom,10,49.21,11.73,73.55,17.96
JDFT2D,meV/atom,20,47.54,7.52,72.69,12.51
JDFT2D,meV/atom,40,39.18,10.57,61.1,7.56
JDFT2D,meV/atom,80,36.25,8.32,55.72,12.85
JDFT2D,meV/atom,100,33.02,8.26,50.47,12.35
GVRH,log10(GPa),5,0.132,0.005,0.206,0.007
GVRH,log10(GPa),10,0.116,0.002,0.178,0.005
GVRH,log10(GPa),20,0.108,0.002,0.152,0.005
GVRH,log10(GPa),40,0.096,0.002,0.134,0.006
GVRH,log10(GPa),80,0.083,0.002,0.112,0.002
GVRH,log10(GPa),100,0.081,0.001,0.105,0.003
MP_E_Form,eV/atom,5,0.07,0.001,0.14,0.006
MP_E_Form,eV/atom,10,0.063,0.002,0.103,0.004
MP_E_Form,eV/atom,20,0.047,0.001,0.072,0.003
MP_E_Form,eV/atom,40,0.036,0.001,0.053,0.004
MP_E_Form,eV/atom,80,0.028,0.0004,0.038,0.002
MP_E_Form,eV/atom,100,0.025,0.001,0.035,0.001
