id,y_DFT,y_pred_scratch,y_pred_pretrained,is_stable_DFT
Type4-CrWGeN,238.619,266.9465,265.1402,False
Type4-CoMoAlC,239.597,332.4996,318.11163,False
Type4-NiNbGeP,256.689,398.04343,286.0627,False
Type4-FeScGaB,312.52,262.8147,258.39194,False
Type4-CoCuSiB,526.895,476.44812,413.80554,False
Type4-FeNiGaC,248.697,241.89499,268.2375,False
Type4-VFeGeB,320.651,324.2882,241.36641,False
Type4-CrFeAlC,122.812,103.25076,121.73094,False
Type4-MnCoGeN,277.908,206.79892,265.4462,False
Type4-CrZrGaN,279.194,281.37946,143.97586,False
Type4-FeHfGeB,209.177,257.35733,192.26018,False
Type4-CrWAlC,37.397,64.92284,81.141174,False
Type4-VMoGaP,225.591,288.4722,213.38771,False
Type4-VWGeB,157.621,155.0563,144.3145,False
Type4-MnNbSiN,372.665,377.8449,384.9925,False
Type4-VNbAlN,91.159,58.250626,106.34531,False
Type4-NiNbAlB,407.375,435.67355,375.03824,False
Type4-CoTaSiP,277.669,511.62988,392.69794,False
Type4-FeZrAlC,301.845,343.65292,312.41473,False
Type4-VTiGaC,-3.197,4.313446,-2.9480286,True
Type4-CrHfGeN,280.775,276.08514,160.9202,False
Type4-FeNiGeN,333.114,361.8704,385.20328,False
Type4-CoNbGeC,195.139,262.1421,193.22797,False
Type4-FeHfSiC,397.438,421.732,358.89478,False
Type4-MnTaAlB,268.375,265.55966,231.32408,False
Type4-VTaSiP,266.28,393.65726,290.3581,False
Type4-VNiSiP,352.317,424.41263,323.2144,False
Type4-MnScGeC,109.644,107.085236,70.34253,False
Type4-CoNiGaB,217.111,197.62555,202.25284,False
Type4-VNiAlP,337.641,432.61884,389.22906,False
Type4-MnCuGaB,475.167,410.08154,392.94232,False
Type4-NiHfGaC,409.449,456.65146,327.15567,False
Type4-NiTiAlP,281.229,502.51642,392.5431,False
Type4-CrHfGaN,272.529,289.83484,185.65887,False
Type4-VCuSiP,347.083,390.14722,298.7107,False
Type4-CrMnGeP,281.539,312.984,219.96077,False
Type4-CrYGaN,350.936,272.9127,199.436,False
Type4-CoMoGeN,363.76,354.3703,328.4072,False
Type4-MnNiGaB,324.101,307.87607,279.85587,False
Type4-CrFeGaC,68.394,70.05293,48.341278,False
Type4-FeNbSiB,321.541,428.06342,332.24353,False
Type4-NiCuSiN,939.318,971.9231,964.76917,False
Type4-FeCoAlC,254.831,240.41423,290.69547,False
Type4-MnNiAlC,357.772,316.32858,357.10736,False
Type4-VWGaN,264.154,283.5161,231.03416,False
Type4-CrHfGaP,293.561,374.2846,284.36935,False
Type4-FeCoAlP,314.512,366.5536,301.51263,False
Type4-NiYGeP,185.389,356.05487,300.95547,False
Type4-FeTiGaN,347.041,341.4183,309.5416,False
Type4-FeCuAlB,422.8,379.55347,388.20084,False
Type4-CoNiSiC,580.404,560.53296,604.36053,False
Type4-VMoSiN,338.39,336.71384,302.7613,False
Type4-MnHfAlB,284.384,277.68594,262.56067,False
Type4-FeMoAlB,269.383,313.1711,241.51581,False
Type4-VNbSiB,269.753,303.82208,261.0512,False
Type4-FeScSiB,350.023,293.07828,257.15387,False
Type4-VNiGeP,251.887,332.2916,308.8288,False
Type4-NiNbGeB,199.452,427.03082,273.77634,False
Type4-VHfAlB,306.993,346.3446,302.73218,False
Type4-VCrGeC,5.946,6.338257,0.05029297,True
Type4-VTiGeB,254.379,277.22122,212.27446,False
Type4-MnFeGeC,140.569,143.16724,133.24638,False
Type4-CrHfSiB,368.27,414.9367,337.7462,False
Type4-NiCuGeP,225.491,294.05444,255.70782,False
Type4-CoNbGaC,208.433,224.01608,167.89629,False
Type4-NiWGeC,515.294,440.58353,435.42975,False
Type4-MnScAlB,335.644,270.40182,288.83804,False
Type4-FeNbGaB,256.061,258.73767,194.50749,False
Type4-VNiGaB,423.691,448.47263,355.56195,False
Type4-NiNbGaP,225.975,407.91815,320.7279,False
Type4-VCrGeP,180.645,264.7163,188.84993,False
Type4-CoCuGaN,322.033,385.81387,397.43222,False
Type4-VWGeN,332.793,389.81384,320.64404,False
Type4-NiScGeB,236.992,369.8145,269.0108,False
Type4-FeScAlC,129.528,164.80702,202.71457,False
Type4-VMnSiP,306.486,440.55383,309.08627,False
Type4-NiYSiP,288.501,461.98444,392.2696,False
Type4-CoTiGaP,132.482,287.838,178.94936,False
Type4-CrZrGaB,378.398,370.76398,307.8543,False
Type4-VCoGaC,164.933,191.81009,82.0394,False
Type4-MnNbAlP,323.345,266.49292,318.48767,False
Type4-FeWGeP,238.088,300.24152,235.96393,False
Type4-CrMnGeC,70.191,74.420044,45.615753,False
Type4-CrMoGeN,151.44,167.78131,134.55983,False
Type4-CrFeSiP,299.389,318.68152,341.1998,False
Type4-NiTaGeP,327.071,441.61768,380.8207,False
Type4-VCoSiP,249.176,442.72153,296.05664,False
Type4-VTiGeN,41.447,25.707153,18.090363,False
Type4-CrScGeP,262.266,229.80457,249.1278,False
Type4-MnScGeB,426.924,374.185,359.96072,False
Type4-CrMnSiC,172.108,167.76334,142.75713,False
Type4-MnYGeC,341.142,235.34259,160.85783,False
Type4-FeCuAlN,779.998,820.9415,824.3163,False
Type4-VZrGaC,81.58,106.01985,33.237396,False
Type4-CoScGeB,243.882,352.26434,264.66232,False
Type4-VCoGeC,167.334,229.93796,227.43195,False
Type4-CrNbAlN,246.879,288.4595,240.83096,False
Type4-CoTaGeC,242.78,297.7928,233.4425,False
Type4-CrTaGaC,46.615,67.68501,44.561737,False
Type4-MnFeSiC,256.721,249.37915,270.0251,False
Type4-MnTiAlC,124.966,131.84854,96.66374,False
Type4-VFeAlP,274.533,246.51758,265.34152,False
Type4-FeCuGeN,289.133,375.72137,413.47388,False
Type4-CrYGaC,293.455,135.22404,104.42825,False
Type4-MnFeGaP,253.944,273.3662,274.44626,False
Type4-MnZrSiP,320.098,475.02097,377.44983,False
Type4-FeHfAlP,266.541,485.92706,315.24243,False
Type4-VNiGaP,239.199,317.8044,267.28958,False
Type4-NiHfAlB,315.611,403.30573,363.0238,False
Type4-CoTiGaN,401.284,378.51385,343.1483,False
Type4-CoCuGeB,390.274,305.0336,390.43372,False
Type4-FeCoGaB,217.138,200.68283,209.57161,False
Type4-CoYGaC,220.215,219.81033,120.305145,False
Type4-MnNiAlN,561.379,575.25354,598.32776,False
Type4-MnYGaN,436.889,332.6862,242.20001,False
Type4-CrTaAlC,53.901,48.177002,58.976395,False
Type4-VNiGaN,434.921,443.77655,411.17676,False
Type4-CoTaAlC,385.543,358.85138,337.84622,False
Type4-FeScGeP,173.325,227.14261,207.13052,False
Type4-CrTaGeN,259.013,297.49667,168.98709,False
Type4-NiYSiC,335.556,361.99487,351.36203,False
Type4-CrHfSiN,410.358,412.93945,348.4326,False
Type4-VTiAlP,264.711,319.73013,262.38336,False
Type4-CrYSiP,544.857,515.29254,461.20587,False
Type4-NiYAlN,757.849,783.20056,712.54034,False
Type4-VYGaN,313.922,268.07776,164.97777,False
Type4-CoHfSiN,575.132,618.63525,589.7903,False
Type4-VFeSiC,269.169,259.97076,253.73119,False
Type4-CoScAlN,725.707,690.08984,620.50256,False
Type4-VNbSiN,186.24,192.03476,139.09201,False
Type4-NiYGeC,304.524,412.654,227.94412,False
Type4-VScAlN,130.632,155.85658,86.345764,False
Type4-CrNiGaB,355.282,398.63797,334.29898,False
Type4-MnTaGaN,252.466,291.45203,241.5013,False
Type4-CrYSiN,525.486,439.07782,390.8236,False
Type4-CrWSiN,404.615,411.77435,375.95468,False
Type4-MnCuGaC,381.981,371.45245,318.08936,False
Type4-MnCuGeN,288.095,354.45605,315.33066,False
Type4-MnHfGeP,131.766,308.1638,223.6106,False
Type4-NiNbGeN,491.558,474.04355,446.41833,False
Type4-CoTiGeB,177.235,289.5188,195.79112,False
Type4-FeMoSiC,247.097,285.44693,312.10416,False
Type4-CrNbAlP,358.923,359.26544,326.54407,False
Type4-VNbGaC,35.269,46.13748,29.235535,False
Type4-VNbGeP,126.49,264.07974,203.70493,False
Type4-NiCuSiB,491.832,445.37518,487.15503,False
Type4-FeYSiC,347.757,272.78305,269.27698,False
Type4-MnNiGeB,311.346,346.4941,333.0345,False
Type4-CrYAlN,488.195,415.0046,339.41647,False
Type4-MnZrSiB,385.304,418.7813,368.28275,False
Type4-NiScGaB,260.862,335.65668,230.43475,False
Type4-NiMoGeN,405.014,411.34253,409.94238,False
Type4-MnMoGeN,146.942,199.66719,201.27376,False
Type4-CrNiGeC,356.191,311.4489,290.8372,False
Type4-CrTaSiB,253.837,382.6001,239.65276,False
Type4-NiZrAlN,646.044,661.84296,621.0963,False
Type4-MnFeAlC,78.397,103.069214,117.0316,False
Type4-MnYAlN,574.673,527.66583,439.25867,False
Type4-NiTaSiB,237.963,421.3865,377.0298,False
Type4-FeWGeB,211.503,310.6456,216.19824,False
Type4-NiWGaC,412.136,389.49728,401.30927,False
Type4-FeScSiN,614.07,654.62317,583.9907,False
Type4-FeZrSiB,377.576,364.78293,254.8864,False
Type4-CoYAlB,229.864,310.39597,306.9649,False
Type4-VCoGaB,331.923,323.3111,287.2121,False
Type4-VYSiN,396.977,322.25122,326.07736,False
Type4-NiTaAlN,607.104,516.28973,511.6797,False
Type4-FeWGeC,214.298,298.57562,258.90796,False
Type4-MnYGeP,318.308,324.83362,286.04053,False
Type4-CrZrAlC,179.458,174.34964,129.91537,False
Type4-NiMoAlC,401.173,416.46835,415.43646,False
Type4-FeMoSiN,423.763,429.72946,419.45715,False
Type4-FeWAlC,186.18,272.7203,250.22021,False
Type4-NiHfGeB,219.684,470.82153,253.18182,False
Type4-FeZrAlP,259.418,405.85944,322.30148,False
Type4-MnNbSiB,322.654,411.17664,325.0981,False
Type4-NiScGeC,223.99,364.54868,182.15709,False
Type4-CrFeGaN,149.672,182.26334,178.23155,False
Type4-MnZrGaC,156.978,139.61331,95.20445,False
Type4-VTiGaB,258.954,283.7367,212.0444,False
Type4-MnZrAlC,249.179,256.0265,186.97409,False
Type4-VHfSiP,254.425,385.83813,320.4589,False
Type4-CrCuSiC,548.158,495.10968,487.34512,False
Type4-MnScGeN,327.684,336.5407,263.57483,False
Type4-NiHfSiP,262.146,461.17014,396.4522,False
Type4-FeHfAlN,525.983,422.25403,471.7553,False
Type4-VNbGaN,31.806,38.423615,59.388412,False
Type4-FeZrSiN,605.259,594.96234,591.77966,False
Type4-CrFeGaB,319.079,325.4979,234.10799,False
Type4-CrMoAlC,19.638,36.589752,46.83145,True
Type4-NiYSiB,171.739,334.2741,262.30704,False
Type4-CrScSiC,128.106,75.10573,123.57968,False
Type4-VScGaB,495.779,446.29132,398.982,False
Type4-CoTiSiC,382.937,504.77118,350.26328,False
Type4-NiScGaC,203.801,271.1593,180.76743,False
Type4-NiHfAlN,622.645,646.57166,559.80585,False
Type4-VFeSiB,457.6,448.4704,338.28528,False
Type4-VNiGeC,348.26,347.68127,287.96823,False
Type4-CrMoSiC,128.285,102.493744,115.22305,False
Type4-VCoAlC,308.201,286.9568,267.80322,False
Type4-CrCoGeN,334.97,289.44232,301.10306,False
Type4-CoNiGaP,113.199,129.17729,150.98602,False
Type4-MnNbGeC,116.29,105.18848,79.713486,False
Type4-MnNbGaC,93.111,92.346695,55.987488,False
Type4-VCuGaP,374.854,320.83438,247.21164,False
Type4-MnCoSiP,319.325,356.63654,354.29517,False
Type4-CrNbGaP,272.075,359.5153,265.97675,False
Type4-CoCuAlN,837.151,984.96375,851.3083,False
Type4-CoScGeN,470.89,488.69873,407.90814,False
