id,y_true,y_pred,is_target
0.962_LiCrGe2O6,6.0,5.9384995,False
0.330_ErGe3,7.0,13.462547,False
0.903_Pr2PdGe6,13.0,5.1055984,False
1.682_Na2CuSO4Cl2,0.54,-0.36402893,False
2.104_BaNd2ZnS5,2.9,25.778198,False
0.200_Mn3Sn,420.0,419.82013,True
0.109_Mn3Pt,365.0,474.8274,False
1.366_HoCu2Si2,8.0,9.336227,False
2.36_TbGe3,23.0,34.70494,False
1.335_Nd2Pd2In,8.0,19.374939,False
2.31_Mn3ZnN,140.0,325.93512,False
0.632_NaMnSb,293.0,294.16473,False
1.415_Tb2Pd2In,29.5,70.628494,False
0.453_DyCoSi2,10.9,14.078468,False
1.427_HoCo2Ge2,8.0,64.37385,False
0.747_Ba3CoIr2O9,107.0,71.35286,False
0.309_TlCrO3,89.0,109.72451,False
0.178_CoF2,39.0,329.9404,False
1.822_Sr2MnSi2O7,3.4,8.662865,False
1.222_Er2CoGa8,3.0,4.399132,False
0.432_KMnF3,77.0,84.05791,False
0.15_MnF2,67.0,198.46803,False
0.600_CaMnSi,360.0,359.73203,False
0.128_FeSO4F,100.0,109.89464,False
0.240_Er2Cu2O5,28.0,13.737358,False
0.129_Cu3Mo2O9,9.5,14.767487,False
0.260_CuFePO5,195.0,57.980045,False
2.2_Sr2F2Fe2OS2,106.0,144.60019,False
1.625_Sr2Fe3S2O3,76.0,58.99813,False
1.553_KMnAs,293.0,293.3249,False
0.608_PrMnO3,91.0,103.90036,False
1.505_GdAgSn,34.0,37.968605,False
1.0.49_BaCoSiO4,3.2,3.1670837,False
0.926_Pr2PdGe6,13.0,5.105606,False
1.50_AgNiO2,20.0,138.51894,False
0.587_TmCrO3,124.0,55.042423,False
0.631_NaMnSb,293.0,294.03455,False
1.773_PrIr3B2,10.0,9.274567,False
1.539_KMnP,295.0,294.83194,False
0.1087_K2Co3(MoO4)3(OH)2,7.0,2.5582504,False
1.597_TbCuSb2,9.0,5.0194016,False
0.929_Tb2PdGe6,48.0,24.596825,False
0.209_TlFe1.6Se2,500.0,270.5988,True
0.180_MnPSe3,74.0,74.03909,False
1.763_BaNiTe2O7,5.4,10.517151,False
0.909_Er2PtGe6,4.9,4.908638,False
3.21_TmGa3,4.26,23.330482,False
1.63_MnPb4Sb6S14,6.0,5.8751984,False
1.805_FeVMoO7,10.8,33.43354,False
1.829_LuFeWO6,11.8,20.855408,False
