id,y_true,y_pred,is_target
Be2CoNi_agm002645290,0.0,0.0013415813,False
ZrHf3_agm001190886,9.618,10.089787,True
NHf_agm002164577,1.364,6.7388296,False
VNbWRe_agm001391126,0.002,0.10824728,False
LiSi2Ni_agm005106377,0.881,0.15768981,False
ZrIn_agm002247264,0.201,0.11090994,False
Be4SiTc_agm003204402,7.425,6.178179,True
Ru2Pt_agm003161443,1.774,2.5775173,False
ScZrRuOs_agm001312562,0.0,0.0031943321,False
TiNiCuZn_agm001291948,1.443,0.50944877,False
ScNiRh2_agm002354264,0.78,0.8680078,False
ScTiRh2_agm001116075,2.409,2.6528282,False
B6Ba_agm003258554,0.0,0.21592283,False
P2NiLa_agm003632720,1.884,0.39310718,False
LiNi2Ga_agm002342375,0.0,-0.00018715858,False
Nb3Mo_agm002166714,6.214,6.0260797,True
Ni2MoRu_agm003183208,1.419,0.6048851,False
V2GaRu3_agm003436196,7.215,4.731266,True
Ni6InSb_agm003771988,0.0,0.027687788,False
LiMoRuRh_agm001311646,0.001,0.03386545,False
Tc3Ru_agm003188210,8.402,8.381962,True
Mg2AgAu_agm002696440,0.006,0.005966425,False
LiSc2Tc_agm002695852,0.333,1.1221447,False
MnTa2W_agm003183150,0.011,0.008363485,False
B2ScCo2_agm002137219,0.025,0.0018572807,False
BeTiGa_agm001259558,0.308,-0.002385378,False
Sc2CuTc_agm003192177,1.616,2.6460638,False
CTi3In_agm002429705,0.033,0.05799079,False
Sc2Zr_agm003160384,4.984,5.9344397,False
Zr3Hf_agm001190885,11.278,11.5170965,True
Al2CoOs_agm002632532,0.0,-0.0039818287,False
NaMgTl2_agm002708898,2.093,0.28359365,False
Zr3In_agm003186080,2.176,1.7022324,False
CoNbRu_agm002057083,0.213,0.62161386,False
Zr2NbOs_agm002194186,6.525,3.7867131,True
ScRh2Pt_agm002354600,0.336,0.41865826,False
V2Mo_agm001850914,6.24,6.7409735,True
Ca2SrBa_agm002655952,0.009,0.028214693,False
C2HfTa_agm003187224,4.111,4.0411086,False
SiFeLa_agm002355711,0.228,0.109386206,False
MoW3_agm003190798,0.468,0.4111526,False
Ni2CuRe_agm001129717,0.003,0.09452629,False
GaYRh2_agm001206884,0.0,0.06118059,False
Ti2Ga4Zr_agm003258606,0.597,0.3164804,False
SiCo2La_agm002317054,4.172,0.007836819,False
Ti2NbPd_agm001116328,3.311,3.4856048,False
Be2NiNb2_agm003404954,3.554,6.6433926,False
N2TiHf_agm002290936,9.982,14.365843,True
MgNiZnRh_agm001356037,0.0,0.004860401,False
Sc6ZrIn_agm003772248,1.221,1.555208,False
NCa3Bi_agm002537420,0.0,0.0036799908,False
VMo2W_agm001100392,0.023,0.026772022,False
MgNiRuSn_agm001308774,0.0,0.22314835,False
MoHfTaOs_agm001391538,0.052,0.050336838,False
Nb2MoOs_agm001216830,0.154,0.22951579,False
ScRh3_agm002184768,0.864,0.79005,False
ScZnZrOs_agm001368458,0.972,0.2048006,False
TiMo2Ta_agm001116205,6.457,5.450655,True
V3As_agm003263955,3.098,3.1686993,False
C2ScNi_agm002139619,2.229,0.016716719,False
AlCr4Ta_agm003204345,0.403,0.2668488,False
SiTiAs_agm002188387,0.875,0.039925575,False
V6GeAs_agm003762167,7.13,6.0840654,True
Rh5Pd_agm003299344,0.435,0.80909693,False
MgNiCuIn_agm001340799,0.023,0.10541868,False
Mg2ZrSn_agm001213573,0.01,0.01649189,False
SiCr3_agm003264412,0.884,3.355905,False
LiAl2Sr_agm003169074,2.366,0.003427744,False
As2Pb_agm003157891,7.674,3.6679215,True
TcTa3_agm003190888,0.102,0.0956521,False
NSr3Pb_agm002346692,0.029,0.05980301,False
C4Ti3W_agm003260681,13.159,0.07703543,True
HCo3Hf_agm002492458,0.0,0.0004749298,False
CY3Sb_agm002437283,3.44,0.029227972,False
S2Cu3_agm002181535,0.152,-0.000166893,False
AlZn2Tc_agm003169487,0.002,0.010485649,False
CGaMo2_agm003260451,8.148,0.017272234,True
BeGaRh2_agm002645606,0.0,0.0066871643,False
BeCr3_agm003261136,7.806,0.14922547,True
V3Tc_agm001829245,2.402,1.5608581,False
VRu2Lu_agm001121888,0.389,0.008753777,False
HZnRh_agm001265650,1.223,0.15277123,False
SiRe_agm001418501,3.503,0.9425378,False
C2Hf3_agm003287275,0.02,0.0068330765,False
AlZn3_agm003190359,0.772,0.21530437,False
CoRu2W_agm003176656,0.791,0.5498003,False
ScNi2Sn_agm002354565,0.007,0.3659606,False
NZr2In_agm003635185,0.641,1.6004386,False
MoRu2Ir_agm003179951,7.042,7.693967,True
NiTaOs2_agm003183446,1.115,0.77834034,False
Be2SiCo_agm003191619,2.377,0.030013084,False
H6Ca2NiPd_agm004930255,0.0,0.044001102,False
YLu3_agm001280601,2.133,1.4945468,False
Al3CaPd_agm002327373,0.378,0.509635,False
CuNbPd2_agm002146659,0.007,0.00024008751,False
Mo2RhIr_agm003187147,1.457,1.3943883,False
CuZrPt2_agm002209405,0.0,0.0112941265,False
MgTiIn2_agm001214871,0.0,0.0339067,False
ScZr2Pb_agm003184025,0.51,5.211378,False
Sc2ZnGa_agm001223260,0.001,0.0028600693,False
NTi2Ga_agm002164933,0.023,0.055235863,False
TiCuZr_agm003157861,0.479,3.3070958,False
P2VTc_agm003632243,4.233,0.5287998,False
HCrOs_agm002076459,0.3,9.458996,False
Ti2ZnTc_agm001228530,0.526,0.3139162,False
V2MnRu_agm001121747,5.137,3.3542688,True
TiSnHf2_agm001229156,6.3,6.736971,True
HLi2Pd_agm005112948,0.0,1.229025,False
Al6TiMo_agm003261006,0.986,-0.0016252995,False
Ti3ZnGa2_agm003413938,0.81,0.32101846,False
ScZr7_agm003262071,12.548,5.119727,True
CAlSc2Hf_agm001610847,0.0,0.019114017,False
MgYHg2_agm002698530,0.056,0.2019701,False
VNiOs2_agm001230325,2.528,2.1779938,False
